name,inat_place_id,orgname,fws_region,prop_type
Fisherman Island National Wildlife Refuge,119326,FISHERMAN ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
Flattery Rocks National Wildlife Refuge,119327,FLATTERY ROCKS NATIONAL WILDLIFE REFUGE,1,NWR
Flint Hills National Wildlife Refuge,119329,FLINT HILLS NATIONAL WILDLIFE REFUGE,6,NWR
Florence Lake National Wildlife Refuge,119328,FLORENCE LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Florida Panther National Wildlife Refuge,119217,FLORIDA PANTHER NATIONAL WILDLIFE REFUGE,4,NWR
Fort Niobrara National Wildlife Refuge,119253,FORT NIOBRARA NATIONAL WILDLIFE REFUGE,6,NWR
Fox River National Wildlife Refuge,119330,FOX RIVER NATIONAL WILDLIFE REFUGE,3,NWR
Franklin Island National Wildlife Refuge,119331,FRANKLIN ISLAND NATIONAL WILDLIFE REFUGE,5,NWR
Franz Lake National Wildlife Refuge,119332,FRANZ LAKE NATIONAL WILDLIFE REFUGE,1,NWR
Glacial Ridge National Wildlife Refuge,119333,GLACIAL RIDGE NATIONAL WILDLIFE REFUGE,3,NWR
Grand Bay National Wildlife Refuge,119143,GRAND BAY NATIONAL WILDLIFE REFUGE,4,NWR
Grand Cote National Wildlife Refuge,119144,GRAND COTE NATIONAL WILDLIFE REFUGE,4,NWR
Grass Lake National Wildlife Refuge,119145,GRASS LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Grasslands Wildlife Management Area,119146,GRASSLANDS WILDLIFE MANAGEMENT AREA,8,WMA
Gravel Island National Wildlife Refuge,119260,GRAVEL ISLAND NATIONAL WILDLIFE REFUGE,3,NWR
Grays Harbor National Wildlife Refuge,119308,GRAYS HARBOR NATIONAL WILDLIFE REFUGE,1,NWR
Grays Lake National Wildlife Refuge,119334,GRAYS LAKE NATIONAL WILDLIFE REFUGE,1,NWR
Great Bay National Wildlife Refuge,119335,GREAT BAY NATIONAL WILDLIFE REFUGE,5,NWR
Great Dismal Swamp National Wildlife Refuge,119336,GREAT DISMAL SWAMP NATIONAL WILDLIFE REFUGE,5,NWR
Great Meadows National Wildlife Refuge,119337,GREAT MEADOWS NATIONAL WILDLIFE REFUGE,5,NWR
Great River National Wildlife Refuge,119338,GREAT RIVER NATIONAL WILDLIFE REFUGE,3,NWR
Great Swamp National Wildlife Refuge,119339,GREAT SWAMP NATIONAL WILDLIFE REFUGE,5,NWR
Great White Heron National Wildlife Refuge,119340,GREAT WHITE HERON NATIONAL WILDLIFE REFUGE,4,NWR
Green Bay National Wildlife Refuge,119341,GREEN BAY NATIONAL WILDLIFE REFUGE,3,NWR
Green Cay National Wildlife Refuge,119258,GREEN CAY NATIONAL WILDLIFE REFUGE,4,NWR
